stack size, dependencies per child, preview duration
=== stack size: 100 base + 0 children ===
0, 0, 1.07
0, 1, 1.11
0, 2, 1.09
0, 3, 1.10
0, 4, 1.11
0, 5, 1.11
0, 6, 1.10
0, 7, 1.12
0, 8, 1.11
0, 9, 1.13
0, 10, 1.11
0, 11, 1.12
0, 12, 1.31
0, 13, 1.13
0, 14, 1.12
0, 15, 1.16
0, 16, 1.15
0, 17, 1.19
0, 18, 1.17
0, 19, 1.14
0, 20, 1.15
=== stack size: 100 base + 100 children ===
100, 0, 2.43
100, 1, 2.37
100, 2, 2.48
100, 3, 2.43
100, 4, 2.49
100, 5, 2.47
100, 6, 2.50
100, 7, 2.53
100, 8, 2.63
100, 9, 2.58
100, 10, 2.57
100, 11, 2.57
100, 12, 2.64
100, 13, 2.62
100, 14, 2.67
100, 15, 2.68
100, 16, 2.71
100, 17, 2.72
100, 18, 2.75
100, 19, 2.80
100, 20, 2.81
=== stack size: 100 base + 200 children ===
200, 0, 10.52
200, 1, 10.66
200, 2, 10.53
200, 3, 11.08
200, 4, 11.04
200, 5, 11.15
200, 6, 11.54
200, 7, 11.58
200, 8, 11.65
200, 9, 11.75
200, 10, 12.08
200, 11, 12.27
200, 12, 12.26
200, 13, 12.31
200, 14, 12.77
200, 15, 12.76
200, 16, 12.77
200, 17, 13.07
200, 18, 13.03
200, 19, 13.34
200, 20, 13.61
=== stack size: 100 base + 300 children ===
300, 0, 42.48
300, 1, 42.48
300, 2, 42.57
300, 3, 42.99
300, 4, 43.83
300, 5, 44.28
300, 6, 45.38
300, 7, 44.38
300, 8, 45.72
300, 9, 46.66
300, 10, 46.54
300, 11, 46.65
300, 12, 47.91
300, 13, 48.27
300, 14, 49.38
300, 15, 48.88
300, 16, 49.46
300, 17, 49.69
300, 18, 50.64
300, 19, 51.03
300, 20, 52.13
=== stack size: 100 base + 400 children ===
400, 0, 123.18
400, 1, 125.28
400, 2, 127.33
400, 3, 127.53
400, 4, 127.03
400, 5, 129.11
400, 6, 128.44
400, 7, 132.32
400, 8, 130.76
400, 9, 132.48
400, 10, 134.04
400, 11, 135.73
400, 12, 136.24
400, 13, 137.00
400, 14, 136.36
400, 15, 140.94
400, 16, 139.11
400, 17, 138.91
400, 18, 142.97
400, 19, 145.69
400, 20, 145.90
=== stack size: 100 base + 500 children ===
500, 0, 287.62
500, 1, 293.04
500, 2, 293.15
500, 3, 295.92
500, 4, 302.08
500, 5, 301.37
500, 6, 303.59
500, 7, 304.79
500, 8, 310.96
500, 9, 307.75
500, 10, 312.52
500, 11, 316.16
500, 12, 313.98
500, 13, 317.75
500, 14, 323.47
500, 15, 320.71
500, 16, 326.70
500, 17, 325.90
500, 18, 326.32
500, 19, 330.72
500, 20, 337.08
=== stack size: 100 base + 600 children ===
600, 0, 592.82
600, 1, 594.56
600, 2, 600.38
600, 3, 601.53
600, 4, 613.66
600, 5, 605.57
600, 6, 613.50
600, 7, 618.97
600, 8, 620.38
600, 9, 628.68
600, 10, 630.17
600, 11, 632.18
600, 12, 643.31
600, 13, 639.32
600, 14, 643.62
600, 15, 664.71
600, 16, 652.47
600, 17, 654.90
600, 18, 677.11
600, 19, 672.32
600, 20, 669.66
